Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|04/01/2019|Vente|37220,00|26||RUE|2730|DE MONTHOLON|1000|BOURG-EN-BRESSE|01|53||AI|298||8|19,27|||||||||1|2|Appartement||20|1|||
|||||||000001|04/01/2019|Vente|185100,00|22||RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|01|53||AM|95||137||154|61,51|||||||2|2|Appartement||62|3|||
|||||||000001|04/01/2019|Vente|185100,00|22|B|RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|01|53||AM|95||7||||||||||1|3|Dépendance||0|0|||
|||||||000001|08/01/2019|Vente|209000,00|3||RUE|0043|DES CHAMPAGNES|1160|PRIAY|01|314||E|1676||||||||||||0|1|Maison||90|4|S||940
|||||||000001|07/01/2019|Vente|134900,00|5||LOT|A003|LE BIOLAY|1370|SAINT-ETIENNE-DU-BOIS|01|350||AA|11||||||||||||0|1|Maison||101|5|S||490
|||||||000001|03/01/2019|Vente|192000,00|165||ALL|0445|DES LIBELLULES|1340|ATTIGNAT|01|24||AI|94||||||||||||0|1|Maison||88|4|S||708
|||||||000001|08/01/2019|Vente|45000,00|9||RTE|0001|DU VIADUC|1250|CIZE|01|106||A|86||||||||||||0|1|Maison||39|2|S||631
|||||||000001|08/01/2019|Vente|45000,00||||B017|SUR LA LATIE|1250|CIZE|01|106||A|975||||||||||||0||||||L||120
|||||||000001|04/01/2019|Vente|65000,00|50||RUE|1240|DOC NODET|1000|BOURG-EN-BRESSE|01|53||AL|3||317||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2019|Vente|65000,00|50||RUE|1240|DOC NODET|1000|BOURG-EN-BRESSE|01|53||AL|3||17||33|67,78|||||||2|2|Appartement||69|3|||
|||||||000001|04/01/2019|Vente|37000,00|68||AV|2400|DE MACON|1000|BOURG-EN-BRESSE|01|53||AB|199||107|39,52|16||||||||2|2|Appartement||39|1|||
|||||||000001|08/01/2019|Vente|70,00||||B037|EN CHEVRET|1250|TOSSIAT|01|422||D|1312||||||||||||0||||||AB||32
|||||||000001|08/01/2019|Vente|70,00||||B037|EN CHEVRET|1250|TOSSIAT|01|422||D|1316||||||||||||0||||||AB||31
|||||||000001|07/01/2019|Vente|116000,00|1724||RTE|0105|DE MONTLEGER|1560|MANTENAY-MONTLIN|01|230||ZH|60||||||||||||0|1|Maison||100|1|S||2103
|||||||000001|08/01/2019|Vente|266000,00||||B013|CUET|1340|MONTREVEL-EN-BRESSE|01|266||C|714||||||||||||0||||||S||184
|||||||000001|08/01/2019|Vente|266000,00||||B013|CUET|1340|MONTREVEL-EN-BRESSE|01|266||C|715||||||||||||0||||||S||8
|||||||000001|08/01/2019|Vente|266000,00|1250||RTE|0037|DE CUET|1340|MONTREVEL-EN-BRESSE|01|266||C|716||||||||||||0|1|Maison||115|4|S||1067
|||||||000001|08/01/2019|Vente|266000,00|1250||RTE|0037|DE CUET|1340|MONTREVEL-EN-BRESSE|01|266||C|716||||||||||||0|3|Dépendance||0|0|S||1067
|||||||000001|08/01/2019|Vente|266000,00||||B013|CUET|1340|MONTREVEL-EN-BRESSE|01|266||C|718||||||||||||0||||||S||39
|||||||000001|12/01/2019|Vente|138100,00|181||RTE|0150|DE VERNOUX|1560|COURTES|01|128||WA|34||||||||||||0|1|Maison||99|4|S||1500
|||||||000001|12/01/2019|Vente|138100,00|181||RTE|0150|DE VERNOUX|1560|COURTES|01|128||WA|34||||||||||||0|3|Dépendance||0|0|S||1500
